Average Rank,Film,Year,Rotten Tomatoes Score
17,Parasite,2019,6
19,Lord of the Rings: The Fellowship of the Ring,2001,unranked
23,Avengers: Endgame,2019,7
34,Spider-Man: Into the Spider-verse,2018,19
37,The Dark Knight,2008,unranked
41,Mad Max: Fury Road,2015,18
42,Inception,2010,unranked
43,Lord of the Rings: Return of the King,2003,unranked
49,Lord of the Rings: The Two Towers,2002,unranked
55,Interstellar,2014,unranked
59,Avengers: Infinity War,2018,unranked
60,Gladiator,2000,unranked
62,Get Out,2017,15
63,Moonlight,2016,20
64,Spirited Away,2001,unranked
65,Lady Bird,2017,12
69,Black Panther,2018,5
70,Whiplash,2014,unranked
76,Mulholland Drive,2001,unranked
77,In the Mood for Love,2000,unranked
78,A Quiet Place,2018,29
80,Coco,2017,37
86,Logan,2017,34
87,Thor: Ragnarok,2017,42
90,Eternal Sunshine of the Spotless Mind,2004,unranked
91,Arrival,2016,51
92,Portrait of a Lady on Fire,2020,36
95,La La Land,2016,78
97,Inglourious Basterds,2009,unranked
